1,A,C,101,,
2,A,C,102,,
3,A,C,103,,
4,A,C,104,,
5,A,C,105,,
6,A,C,106,,
7,A,C,107,,
8,A,C,108,,
9,A,C,109,,
10,A,C,110,,
11,B,R,14,,
12,B,R,12,,
13,B,R,10,,
14,B,R,8,,
15,B,R,6,,
16,B,R,4,,
17,B,R,2,,
18,B,C,101,,
19,B,C,102,,
20,B,C,103,,
21,B,C,104,,
22,B,C,105,,
23,B,C,106,,
24,B,C,107,,
25,B,C,108,,
26,B,C,109,,
27,B,C,110,handicap,
28,B,L,1,,
29,B,L,3,,
30,B,L,5,,
31,B,L,7,,
32,B,L,9,,
33,B,L,11,,
34,B,L,13,,
35,C,R,16,,
36,C,R,14,,
37,C,R,12,,
38,C,R,10,,
39,C,R,8,,
40,C,R,6,,
41,C,R,4,,
42,C,R,2,handicap,
43,C,C,101,,
44,C,C,102,,
45,C,C,103,,
46,C,C,104,,
47,C,C,105,,
48,C,C,106,,
49,C,C,107,,
50,C,C,108,,
51,C,C,109,,
52,C,C,110,,
53,C,C,111,,
54,C,L,1,,
55,C,L,3,,
56,C,L,5,,
57,C,L,7,,
58,C,L,9,,
59,C,L,11,,
60,C,L,13,,
61,C,L,15,,
62,D,R,18,,
63,D,R,16,,
64,D,R,14,,
65,D,R,12,,
66,D,R,10,,
67,D,R,8,,
68,D,R,6,,
69,D,R,4,,
70,D,R,2,,
71,D,C,101,handicap,
72,D,C,102,,
73,D,C,103,,
74,D,C,104,,
75,D,C,105,,
76,D,C,106,,
77,D,C,107,,
78,D,C,108,,
79,D,C,109,,
80,D,C,110,,
81,D,C,111,,
82,D,L,1,,
83,D,L,3,,
84,D,L,5,,
85,D,L,7,,
86,D,L,9,,
87,D,L,11,,
88,D,L,13,,
89,D,L,15,,
90,D,L,17,,
91,E,R,18,,
92,E,R,16,,
93,E,R,14,,
94,E,R,12,,
95,E,R,10,,
96,E,R,8,,
97,E,R,6,,
98,E,R,4,,
99,E,R,2,,
100,E,C,101,,
101,E,C,102,,
102,E,C,103,,
103,E,C,104,,
104,E,C,105,,
105,E,C,106,,
106,E,C,107,,
107,E,C,108,,
108,E,C,109,,
109,E,C,110,,
110,E,C,111,,
111,E,L,1,,
112,E,L,3,,
113,E,L,5,,
114,E,L,7,,
115,E,L,9,,
116,E,L,11,,
117,E,L,13,,
118,E,L,15,,
119,E,L,17,,
120,F,R,20,,
121,F,R,18,,
122,F,R,16,,
123,F,R,14,,
124,F,R,12,,
125,F,R,10,,
126,F,R,8,,
127,F,R,6,,
128,F,R,4,,
129,F,R,2,,
130,F,C,101,,
131,F,C,102,,
132,F,C,103,,
133,F,C,104,,
134,F,C,105,,
135,F,C,106,,
136,F,C,107,,
137,F,C,108,,
138,F,C,109,,
139,F,C,110,,
140,F,C,111,,
141,F,L,1,,
142,F,L,3,,
143,F,L,5,,
144,F,L,7,,
145,F,L,9,,
146,F,L,11,,
147,F,L,13,,
148,F,L,15,,
149,F,L,17,,
150,F,L,19,,
151,G,R,22,,
152,G,R,20,,
153,G,R,18,,
154,G,R,16,,
155,G,R,14,,
156,G,R,12,,
157,G,R,10,,
158,G,R,8,,
159,G,R,6,,
160,G,R,4,,
161,G,R,2,,
162,G,C,101,,
163,G,C,102,,
164,G,C,103,,
165,G,C,104,,
166,G,C,105,,
167,G,C,106,,
168,G,C,107,,
169,G,C,108,,
170,G,C,109,,
171,G,C,110,,
172,G,C,111,,
173,G,C,112,,
174,G,L,1,handicap,
175,G,L,3,,
176,G,L,5,,
177,G,L,7,,
178,G,L,9,,
179,G,L,11,,
180,G,L,13,,
181,G,L,15,,
182,G,L,17,,
